name,dose,tier_num,tier_desc,cost_30,cost_90,management,year
ABACAVIR,300 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018-01-01T00:00:00Z
ABACAVIR,SULFATE-LAMIVUDINE-ZIDOVUDINE TABLETS [TRIZIVIR],5,Specialty Tier,25%,N/A,Q:60/30Days,2018-01-01T00:00:00Z
ABACAVIR-LAMIVUDINE,600-300 MG,5,Specialty Tier,25%,N/A,Q:30/30Days,2018-01-01T00:00:00Z
ABILIFY,MAINTENA ER 300 MG SYR,5,Specialty Tier,25%,N/A,P Q:1/28Days,2018-01-01T00:00:00Z
ABILIFY,MAINTENA ER 300 MG VL,5,Specialty Tier,25%,N/A,P Q:1/28Days,2018-01-01T00:00:00Z
ABILIFY,MAINTENA ER 400 MG SYR,5,Specialty Tier,25%,N/A,P Q:1/28Days,2018-01-01T00:00:00Z
ABRAXANE,100MG VIAL,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
ACAMPROSATE,CALCIUM DR 333 MG TABLETS [CAMPRAL],4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACARBOSE,100 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACARBOSE,25 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACARBOSE,50 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACEBUTOLOL,200 MG CAPSULE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ACEBUTOLOL,400 MG CAPSULE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ACELLULAR,PERTUSSIS VACCINE 50 UNT/ML / DIPHTHERIA TOXOID VACCINE 50 UNT/ML / TETANUS TOXOID VACCINE,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACETAMINOP-CODEINE,120-12 MG/5,3,Preferred Brand,20%,15%,Q:2700/30Days,2018-01-01T00:00:00Z
ACETAMINOPHEN,AND CODEINE PHOSPHATE TABLET USP 300MG-15MG (100 CT),3,Preferred Brand,20%,15%,Q:390/30Days,2018-01-01T00:00:00Z
ACETAMINOPHEN-COD,#3 TABLET,3,Preferred Brand,20%,15%,Q:360/30Days,2018-01-01T00:00:00Z
ACETAMINOPHEN-COD,#4 TABLET,3,Preferred Brand,20%,15%,Q:180/30Days,2018-01-01T00:00:00Z
ACETASOL,HC SOLUTION 10ML 10 ML BOT,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACETAZOLAMIDE,125MG TABLET,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
ACETAZOLAMIDE,250MG TABLET (100 CT),3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
ACETAZOLAMIDE,ER 500 MG CAP,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACETIC,ACID 2% EAR SOLUTION,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ACETYLCYSTEINE,10% VIAL,3,Preferred Brand,20%,15%,P,2018-01-01T00:00:00Z
ACETYLCYSTEINE,200 MG/ML INHALANT SOLUTION,3,Preferred Brand,20%,15%,P,2018-01-01T00:00:00Z
ACITRETIN,10 MG CAPSULE [SORIATANE],5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ACITRETIN,17.5 MG CAPSULE [SORIATANE],5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ACITRETIN,25 MG CAPSULE [SORIATANE],5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ACTHIB,VACCINE WITH DILUENT,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACTIMMUNE,100 MCG/0.5 ML VIAL,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
ACYCLOVIR,200 MG CAPSULE,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ACYCLOVIR,200 MG/5 ML SUSP,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACYCLOVIR,400 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ACYCLOVIR,5% OINTMENT,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
ACYCLOVIR,800 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ACYCLOVIR,SODIUM 500 MG VIAL,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
ADACEL,VIAL 2UNT/5UNT,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ADAGEN,250U/ML VIAL,5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ADALIMUMAB,50 MG/ML PREFILLED SYRINGE [HUMIRA],5,Specialty Tier,25%,N/A,P Q:6/28Days,2018-01-01T00:00:00Z
ADAPALENE,0.1% GEL,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ADCIRCA,TABLETS 20MG 60 BOTTLE,5,Specialty Tier,25%,N/A,P Q:60/30Days,2018-01-01T00:00:00Z
ADEFOVIR,DIPIVOXIL 10 MG TAB [HEPSERA],5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ADEMPAS,0.5 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
ADEMPAS,1 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
ADEMPAS,1.5 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
ADEMPAS,2 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
ADEMPAS,2.5 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
AFEDITAB,CR 30MG TABLET SA,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
AFEDITAB,CR 60MG TABLET SA,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
AFINITOR,7.5MG/1 28 BLISTER PACK PER CARTON / 1 TABLET PER BLISTER PACK,5,Specialty Tier,25%,N/A,P Q:30/30Days,2018-01-01T00:00:00Z
