name,tier_num,tier_desc,cost_30,cost_90,management,year
ABACAVIR 300 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018
Abacavir Sulfate-Lamivudine-Zidovudine tablets [Trizivir],5,Specialty Tier,25%,N/A,Q:60/30Days,2018
ABACAVIR-LAMIVUDINE 600-300 MG,5,Specialty Tier,25%,N/A,Q:30/30Days,2018
ABILIFY MAINTENA ER 300 MG SYR,5,Specialty Tier,25%,N/A,P Q:1/28Days,2018
ABILIFY MAINTENA ER 300 MG VL,5,Specialty Tier,25%,N/A,P Q:1/28Days,2018
ABILIFY MAINTENA ER 400 MG SYR,5,Specialty Tier,25%,N/A,P Q:1/28Days,2018
ABRAXANE 100MG VIAL,5,Specialty Tier,25%,N/A,P,2018
Acamprosate Calcium DR 333 MG tablets [Campral],4,Non-Preferred Drug,35%,30%,None,2018
ACARBOSE 100 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018
ACARBOSE 25 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018
ACARBOSE 50 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018
ACEBUTOLOL 200 MG CAPSULE,2,Generic,$1.00,$0.00,None,2018
ACEBUTOLOL 400 MG CAPSULE,2,Generic,$1.00,$0.00,None,2018
ACELLULAR PERTUSSIS VACCINE 50 UNT/ML / DIPHTHERIA TOXOID VACCINE 50 UNT/ML / TETANUS TOXOID VACCINE,4,Non-Preferred Drug,35%,30%,None,2018
ACETAMINOP-CODEINE 120-12 MG/5,3,Preferred Brand,20%,15%,Q:2700/30Days,2018
ACETAMINOPHEN AND CODEINE PHOSPHATE TABLET USP 300MG-15MG (100 CT),3,Preferred Brand,20%,15%,Q:390/30Days,2018
ACETAMINOPHEN-COD #3 TABLET,3,Preferred Brand,20%,15%,Q:360/30Days,2018
ACETAMINOPHEN-COD #4 TABLET,3,Preferred Brand,20%,15%,Q:180/30Days,2018
ACETASOL HC SOLUTION 10ML 10 ML BOT,4,Non-Preferred Drug,35%,30%,None,2018
