"","name","tier_num_2013","tier_num_2014","tier_num_2015","tier_num_2016","tier_num_2017","tier_num_2018","tier_diff_2013_2018"
"1","AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE CAPSULES",4,0,0,0,0,0,-4
"2","IMIPRAMINE PAMOATE CAPSULES",4,0,0,0,0,0,-4
"3","RIVASTIGMINE TARTRATE CAPSULES",4,0,0,0,0,0,-4
"4","CEFUROXIME FOR INJECTION",3,2,0,0,0,0,-3
"5","FENTANYL CITRATE LOZENGES",4,4,4,4,4,1,-3
"6","NIFEDIPINE TABLETS EXTENDED RELEASE",3,0,0,0,0,0,-3
"7","QUINAPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE TABLETS",3,0,0,0,0,0,-3
"8","TAZTIA DILTIAZEM HYDROCHLORIDE EXTENDED RELEASE CAPSULES",3,0,0,0,0,0,-3
"9","VENLAFAXINE HYDROCHLORIDE CAPSULES EXTENDED RELEASE",3,0,0,0,0,0,-3
"10","VENLAFAXINE HYDROCHLORIDE TABLETS EXTENDED RELEASE",3,0,0,0,0,0,-3
"11","A-HYDROCORT 100MG VIAL",2,2,2,2,0,0,-2
"12","ABILIFY 10MG TABLET",2,2,2,0,0,0,-2
"13","ABILIFY 15MG TABLET",2,2,2,0,0,0,-2
"14","ABILIFY 1MG/ML SOLUTION",2,2,0,0,0,0,-2
"15","ABILIFY 20MG TABLET",2,2,2,0,0,0,-2
"16","ABILIFY 2MG TABLET",2,2,2,0,0,0,-2
"17","ABILIFY 30MG TABLET",2,2,2,0,0,0,-2
"18","ABILIFY 5MG TABLET (OTSUKA)",2,2,2,0,0,0,-2
"19","ABILIFY DISCMELT 10MG TABLET",2,2,0,0,0,0,-2
"20","ABILIFY DISCMELT 15MG TABLET",2,2,0,0,0,0,-2
"21","ABILIFY INJ 9.75MG",2,2,0,0,0,0,-2
"22","ACARBOSE 100MG/1 1000 TABLET BOTTLE, PLASTIC",2,2,0,0,0,0,-2
"23","ACARBOSE 50MG/1 100 TABLET BOTTLE",2,2,2,2,2,0,-2
"24","ACARBOSE TABLETS",2,0,0,0,0,0,-2
"25","ACEBUTOLOL 200MG CAPSULE",2,2,2,2,2,0,-2
"26","ACEBUTOLOL 400MG CAPSULE",2,2,2,2,2,0,-2
"27","ACETAMINOPHEN AND CODEINE PHOSPHATE 300; 60MG/1; MG/1 500 TABLET BOTTLE",2,2,0,0,0,0,-2
"28","ACETAMINOPHEN AND CODEINE PHOSPHATE SOLUTION ORAL USP 120;12MG/5ML;MG/ 12.5 ML CUPUD",2,2,2,2,0,0,-2
"29","ACETAMINOPHEN AND CODEINE PHOSPHATE TABLET 300MG-30MG (60 CT)",2,2,2,2,0,0,-2
"30","ACETAZOLAMIDE EXTENDED RELEASE CAPSULES 500MG 100 BOT",2,2,0,0,0,0,-2
"31","ACETAZOLAMIDE SOD 500MG VL",2,0,0,0,0,0,-2
"32","ACETIC ACID 2% SOLUTION NON-ORAL",2,2,2,0,0,0,-2
"33","ACETYLCYSTEINE 20% VIAL 3 X 30ML CRTN",2,2,2,0,0,0,-2
"34","ACTHIB VACCINE VIAL 10-24UNT/5ML",2,2,2,0,0,0,-2
"35","ACTIMMUNE SOLUTION FOR INJECTION 100MCG",2,0,0,0,0,0,-2
"36","ACTONEL 150MG/1 36 DOSE PACK CASE / 1 TRAY DOSE PACK / 1 FILM COATED TABLETS IN TRAY",2,0,0,0,0,0,-2
"37","ACTONEL 30MG/1 12 BOTTLE CASE / 30 FILM COATED TABLETS IN BOTTLE",2,0,0,0,0,0,-2
"38","ACTONEL 35MG/1 36 DOSE PACK CASE / 1 TRAY DOSE PACK / 4 FILM COATED TABLETS IN TRAY",2,0,0,0,0,0,-2
"39","ACTONEL 5MG/1 12 BOTTLE CASE / 30 FILM COATED TABLETS IN BOTTLE",2,0,0,0,0,0,-2
"40","ACTOPLUS MET 15MG/500MG TABLET",2,0,0,0,0,0,-2
"41","ACTOPLUS MET 15MG/850MG TABLET",2,0,0,0,0,0,-2
"42","ACTOS 15MG TABLET",2,0,0,0,0,0,-2
"43","ACTOS 30MG/90 TABLET BOTTLE",2,0,0,0,0,0,-2
"44","ACTOS 45MG TABLET",2,0,0,0,0,0,-2
"45","ACYCLOVIR 200MG/5ML 473 ML IN 1 BOTTLE",2,2,0,0,0,0,-2
"46","ACYCLOVIR 400MG/1",2,2,0,2,2,0,-2
"47","ACYCLOVIR SODIUM 500MG VIAL",2,2,0,0,0,0,-2
"48","ACZONE 50MG/G 1 TUBE IN 1 CARTON / 60 G IN 1 TUBE",2,0,0,0,0,0,-2
"49","ADAPALENE CREAM",2,0,0,0,0,0,-2
"50","ADAPALENE GEL",2,0,0,0,0,0,-2
"51","ADCIRCA TABLETS 20MG 60 BOT",2,2,0,0,0,0,-2
"52","ADVAIR DISKUS MIS 100/50",2,0,0,0,0,0,-2
"53","ADVAIR DISKUS MIS 250/50",2,0,0,0,0,0,-2
"54","ADVAIR DISKUS MIS 500/50",2,0,0,0,0,0,-2
"55","ADVAIR HFA 230; 21UG/1; UG/1 120 AEROSOL, METERED IN 1 INHALER",2,0,0,0,0,0,-2
"56","ADVAIR HFA INHALER 115;21MCG;MCG 120ACTN INHL",2,0,0,0,0,0,-2
"57","ADVAIR HFA INHALER 45;21MCG;MCG 120 ACTN INHL",2,0,0,0,0,0,-2
"58","AFINITOR 7.5MG/1 28 BLISTER PACK IN 1 CARTON / 1 TABLET IN 1 BLISTER PACK",2,0,0,0,0,0,-2
"59","AGGRENOX 25-200MG CAPSULE",2,0,0,0,0,0,-2
"60","AK-CON 0.1% EYE DROPS",2,2,2,2,0,0,-2
"61","ALA-SCALP HP 2% LOTION",2,2,0,0,0,0,-2
"62","ALBUTEROL SULFATE 0.75MG/3ML 30 POUCH IN 1 CARTON / 1 VIAL, SINGLE-DOSE IN 1 POUCH / 3 ML IN 1 VIAL",2,0,0,0,0,0,-2
"63","ALBUTEROL SULFATE 4MG TABLET SR 12HR",2,2,2,2,2,0,-2
"64","ALBUTEROL SULFATE 8MG TABLET SR 12HR",2,2,2,2,2,0,-2
"65","ALBUTEROL SULFATE SOLUTION FOR INHALATION",2,2,2,2,2,0,-2
"66","ALBUTEROL SULFATE TABLET 2MG (500 CT)",2,2,2,2,2,0,-2
"67","ALBUTEROL TABLET 4MG (500 CT)",2,2,2,2,2,0,-2
"68","ALCLOMETASONE DIPROPIONATE 0.05% CREAM",2,2,2,2,2,0,-2
"69","ALCLOMETASONE DIPROPIONATE 0.5MG/G 1 TUBE IN 1 CARTON / 60 G IN 1 TUBE",2,0,0,0,0,0,-2
"70","ALDURAZYME 2.9MG/5ML VIAL",2,2,0,0,0,0,-2
