name,tier_num,tier_desc,cost_share_30_day,cost_share_90_day,management,year
ABACAVIR 300 MG TABLET,3,Preferred Brand,$42.00 ,$105.00 ,None,2018-01-01T00:00:00Z
ABACAVIR SULFATE-LAMIVUDINE-ZIDOVUDINE TABLETS [TRIZIVIR],5,Specialty Tier,33%,N/A,None,2018-01-01T00:00:00Z
ABACAVIR-LAMIVUDINE 600-300 MG,5,Specialty Tier,33%,N/A,None,2018-01-01T00:00:00Z
ABELCET INJECTION SUSPENSION 5MG/ML,5,Specialty Tier,33%,N/A,P,2018-01-01T00:00:00Z
ABILIFY MAINTENA ER 300 MG SYR,4,Non-Preferred Drug,46%,46%,Q:1/28Days,2018-01-01T00:00:00Z
ABILIFY MAINTENA ER 300 MG VL,4,Non-Preferred Drug,46%,46%,Q:1/28Days,2018-01-01T00:00:00Z
ABILIFY MAINTENA ER 400 MG SYR,4,Non-Preferred Drug,46%,46%,Q:1/28Days,2018-01-01T00:00:00Z
ABRAXANE 100MG VIAL,5,Specialty Tier,33%,N/A,P,2018-01-01T00:00:00Z
ACAMPROSATE CALCIUM DR 333 MG TABLETS [CAMPRAL],4,Non-Preferred Drug,46%,46%,None,2018-01-01T00:00:00Z
ACARBOSE 100 MG TABLET,3,Preferred Brand,$42.00 ,$105.00 ,None,2018-01-01T00:00:00Z
ACARBOSE 25 MG TABLET,3,Preferred Brand,$42.00 ,$105.00 ,None,2018-01-01T00:00:00Z
ACARBOSE 50 MG TABLET,3,Preferred Brand,$42.00 ,$105.00 ,None,2018-01-01T00:00:00Z
ACEBUTOLOL 200 MG CAPSULE,2,Generic,$13.00 ,$32.50 ,None,2018-01-01T00:00:00Z
ACEBUTOLOL 400 MG CAPSULE,2,Generic,$13.00 ,$32.50 ,None,2018-01-01T00:00:00Z
ACELLULAR PERTUSSIS VACCINE 50 UNT/ML / DIPHTHERIA TOXOID VACCINE 50 UNT/ML / TETANUS TOXOID VACCINE,3,Preferred Brand,$42.00 ,$105.00 ,None,2018-01-01T00:00:00Z
ACETAMINOP-CODEINE 120-12 MG/5,2,Generic,$13.00 ,$32.50 ,Q:5000/30Days,2018-01-01T00:00:00Z
ACETAMINOPHEN AND CODEINE PHOSPHATE TABLET USP 300MG-15MG (100 CT),2,Generic,$13.00 ,$32.50 ,Q:400/30Days,2018-01-01T00:00:00Z
ACETAMINOPHEN-COD #3 TABLET,2,Generic,$13.00 ,$32.50 ,Q:400/30Days,2018-01-01T00:00:00Z
ACETAMINOPHEN-COD #4 TABLET,2,Generic,$13.00 ,$32.50 ,Q:400/30Days,2018-01-01T00:00:00Z
ACETAZOLAMIDE 125MG TABLET,3,Preferred Brand,$42.00 ,$105.00 ,None,2018-01-01T00:00:00Z
ACETAZOLAMIDE 250MG TABLET (100 CT),3,Preferred Brand,$42.00 ,$105.00 ,None,2018-01-01T00:00:00Z
ACETAZOLAMIDE ER 500 MG CAP,4,Non-Preferred Drug,46%,46%,None,2018-01-01T00:00:00Z
ACETIC ACID 2% EAR SOLUTION,3,Preferred Brand,$42.00 ,$105.00 ,None,2018-01-01T00:00:00Z
ACETYLCYSTEINE 10% VIAL,3,Preferred Brand,$42.00 ,$105.00 ,P,2018-01-01T00:00:00Z
ACETYLCYSTEINE 200 MG/ML INHALANT SOLUTION,3,Preferred Brand,$42.00 ,$105.00 ,P,2018-01-01T00:00:00Z
ACITRETIN 10 MG CAPSULE [SORIATANE],5,Specialty Tier,33%,N/A,P,2018-01-01T00:00:00Z
ACITRETIN 17.5 MG CAPSULE [SORIATANE],5,Specialty Tier,33%,N/A,P,2018-01-01T00:00:00Z
ACITRETIN 25 MG CAPSULE [SORIATANE],5,Specialty Tier,33%,N/A,P,2018-01-01T00:00:00Z
ACTHIB VACCINE WITH DILUENT,3,Preferred Brand,$42.00 ,$105.00 ,None,2018-01-01T00:00:00Z
ACTIMMUNE 100 MCG/0.5 ML VIAL,5,Specialty Tier,33%,N/A,P,2018-01-01T00:00:00Z
ACYCLOVIR 200 MG CAPSULE,2,Generic,$13.00 ,$32.50 ,None,2018-01-01T00:00:00Z
ACYCLOVIR 200 MG/5 ML SUSP,4,Non-Preferred Drug,46%,46%,None,2018-01-01T00:00:00Z
ACYCLOVIR 400 MG TABLET,2,Generic,$13.00 ,$32.50 ,None,2018-01-01T00:00:00Z
ACYCLOVIR 800 MG TABLET,2,Generic,$13.00 ,$32.50 ,None,2018-01-01T00:00:00Z
ACYCLOVIR SODIUM 500 MG VIAL,4,Non-Preferred Drug,46%,46%,P,2018-01-01T00:00:00Z
ADACEL VIAL 2UNT/5UNT,3,Preferred Brand,$42.00 ,$105.00 ,None,2018-01-01T00:00:00Z
ADAGEN 250U/ML VIAL,5,Specialty Tier,33%,N/A,P,2018-01-01T00:00:00Z
ADALIMUMAB 50 MG/ML PREFILLED SYRINGE [HUMIRA],5,Specialty Tier,33%,N/A,P Q:2/28Days,2018-01-01T00:00:00Z
ADCIRCA TABLETS 20MG 60 BOTTLE,5,Specialty Tier,33%,N/A,P Q:60/30Days,2018-01-01T00:00:00Z
ADEFOVIR DIPIVOXIL 10 MG TAB [HEPSERA],5,Specialty Tier,33%,N/A,None,2018-01-01T00:00:00Z
ADEMPAS 0.5 MG TABLET,5,Specialty Tier,33%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
ADEMPAS 1 MG TABLET,5,Specialty Tier,33%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
ADEMPAS 1.5 MG TABLET,5,Specialty Tier,33%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
ADEMPAS 2 MG TABLET,5,Specialty Tier,33%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
ADEMPAS 2.5 MG TABLET,5,Specialty Tier,33%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
ADRIAMYCIN 20 MG/10 ML VIAL,4,Non-Preferred Drug,46%,46%,P,2018-01-01T00:00:00Z
ADRUCIL 50MG/ML 10 VIAL IN 1 TRAY / 10 ML IN 1 VIAL,4,Non-Preferred Drug,46%,46%,P,2018-01-01T00:00:00Z
ADVAIR DISKUS MIS 100/50,3,Preferred Brand,$42.00 ,$105.00 ,Q:60/30Days,2018-01-01T00:00:00Z
ADVAIR DISKUS MIS 250/50,3,Preferred Brand,$42.00 ,$105.00 ,Q:60/30Days,2018-01-01T00:00:00Z
ADVAIR DISKUS MIS 500/50,3,Preferred Brand,$42.00 ,$105.00 ,Q:60/30Days,2018-01-01T00:00:00Z
"ADVAIR HFA 230; 21UG/1; UG/1 120 AEROSOL, METERED IN 1 INHALER",3,Preferred Brand,$42.00 ,$105.00 ,Q:12/30Days,2018-01-01T00:00:00Z
ADVAIR HFA INHALER 115;21MCG;MCG 120ACTN INHL,3,Preferred Brand,$42.00 ,$105.00 ,Q:12/30Days,2018-01-01T00:00:00Z
ADVAIR HFA INHALER 45;21MCG;MCG 120 ACTN INHL,3,Preferred Brand,$42.00 ,$105.00 ,Q:12/30Days,2018-01-01T00:00:00Z
AFEDITAB CR 30MG TABLET SA,3,Preferred Brand,$42.00 ,$105.00 ,None,2018-01-01T00:00:00Z
AFEDITAB CR 60MG TABLET SA,3,Preferred Brand,$42.00 ,$105.00 ,None,2018-01-01T00:00:00Z
