name,tier_num,tier_desc,cost_share_30_day,cost_share_90_day,management,year
ABACAVIR 300 MG TABLET,3,Preferred Brand,$42.00 ,$105.00 ,None,2018
Abacavir Sulfate-Lamivudine-Zidovudine tablets [Trizivir],5,Specialty Tier,33%,N/A,None,2018
ABACAVIR-LAMIVUDINE 600-300 MG,5,Specialty Tier,33%,N/A,None,2018
ABELCET INJECTION SUSPENSION 5MG/ML,5,Specialty Tier,33%,N/A,P,2018
ABILIFY MAINTENA ER 300 MG SYR,4,Non-Preferred Drug,46%,46%,Q:1/28Days,2018
ABILIFY MAINTENA ER 300 MG VL,4,Non-Preferred Drug,46%,46%,Q:1/28Days,2018
ABILIFY MAINTENA ER 400 MG SYR,4,Non-Preferred Drug,46%,46%,Q:1/28Days,2018
ABRAXANE 100MG VIAL,5,Specialty Tier,33%,N/A,P,2018
Acamprosate Calcium DR 333 MG tablets [Campral],4,Non-Preferred Drug,46%,46%,None,2018
ACARBOSE 100 MG TABLET,3,Preferred Brand,$42.00 ,$105.00 ,None,2018
ACARBOSE 25 MG TABLET,3,Preferred Brand,$42.00 ,$105.00 ,None,2018
ACARBOSE 50 MG TABLET,3,Preferred Brand,$42.00 ,$105.00 ,None,2018
ACEBUTOLOL 200 MG CAPSULE,2,Generic,$13.00 ,$32.50 ,None,2018
ACEBUTOLOL 400 MG CAPSULE,2,Generic,$13.00 ,$32.50 ,None,2018
ACELLULAR PERTUSSIS VACCINE 50 UNT/ML / DIPHTHERIA TOXOID VACCINE 50 UNT/ML / TETANUS TOXOID VACCINE,3,Preferred Brand,$42.00 ,$105.00 ,None,2018
ACETAMINOP-CODEINE 120-12 MG/5,2,Generic,$13.00 ,$32.50 ,Q:5000/30Days,2018
ACETAMINOPHEN AND CODEINE PHOSPHATE TABLET USP 300MG-15MG (100 CT),2,Generic,$13.00 ,$32.50 ,Q:400/30Days,2018
ACETAMINOPHEN-COD #3 TABLET,2,Generic,$13.00 ,$32.50 ,Q:400/30Days,2018
ACETAMINOPHEN-COD #4 TABLET,2,Generic,$13.00 ,$32.50 ,Q:400/30Days,2018
ACETAZOLAMIDE 125MG TABLET,3,Preferred Brand,$42.00 ,$105.00 ,None,2018
ACETAZOLAMIDE 250MG TABLET (100 CT),3,Preferred Brand,$42.00 ,$105.00 ,None,2018
ACETAZOLAMIDE ER 500 MG CAP,4,Non-Preferred Drug,46%,46%,None,2018
ACETIC ACID 2% EAR SOLUTION,3,Preferred Brand,$42.00 ,$105.00 ,None,2018
ACETYLCYSTEINE 10% VIAL,3,Preferred Brand,$42.00 ,$105.00 ,P,2018
Acetylcysteine 200 MG/ML Inhalant Solution,3,Preferred Brand,$42.00 ,$105.00 ,P,2018
ACITRETIN 10 MG CAPSULE [Soriatane],5,Specialty Tier,33%,N/A,P,2018
ACITRETIN 17.5 MG CAPSULE [Soriatane],5,Specialty Tier,33%,N/A,P,2018
ACITRETIN 25 MG CAPSULE [Soriatane],5,Specialty Tier,33%,N/A,P,2018
ACTHIB VACCINE WITH DILUENT,3,Preferred Brand,$42.00 ,$105.00 ,None,2018
