"","name","tier_num_2013","tier_num_2016","tier_num_2017","tier_num_2018","tier_diff_2013_2018"
"1","ENOXAPARIN SODIUM INJECTION",7,0,0,0,-7
"2","AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE CAPSULES",4,0,0,0,-4
"3","ANTARA CAPSULES",4,0,0,0,-4
"4","RIVASTIGMINE TARTRATE CAPSULES",4,0,0,0,-4
"5","CEFUROXIME FOR INJECTION",3,0,0,0,-3
"6","FENTANYL CITRATE LOZENGES",4,4,4,1,-3
"7","NIFEDIPINE TABLETS EXTENDED RELEASE",3,0,0,0,-3
"8","QUINAPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE TABLETS",3,0,0,0,-3
"9","TAZTIA DILTIAZEM HYDROCHLORIDE EXTENDED RELEASE CAPSULES",3,0,0,0,-3
"10","TRIBENZOR TABLETS",3,0,0,0,-3
"11","VENLAFAXINE HYDROCHLORIDE CAPSULES EXTENDED RELEASE",3,0,0,0,-3
"12","A-HYDROCORT 100MG VIAL",2,2,0,0,-2
"13","ABELCENT INJECTION SUSPENSION 5MG/ML",2,2,2,0,-2
"14","ABILIFY 10MG TABLET",2,0,0,0,-2
"15","ABILIFY 15MG TABLET",2,0,0,0,-2
"16","ABILIFY 1MG/ML SOLUTION",2,0,0,0,-2
"17","ABILIFY 20MG TABLET",2,0,0,0,-2
"18","ABILIFY 2MG TABLET",2,0,0,0,-2
"19","ABILIFY 30MG TABLET",2,0,0,0,-2
"20","ABILIFY 5MG TABLET (OTSUKA)",2,0,0,0,-2
"21","ABILIFY DISCMELT 10MG TABLET",2,0,0,0,-2
"22","ABILIFY DISCMELT 15MG TABLET",2,0,0,0,-2
"23","ABILIFY INJ 9.75MG",2,0,0,0,-2
"24","ACARBOSE 100MG/1 1000 TABLET IN 1 BOTTLE, PLASTIC",2,0,0,0,-2
"25","ACARBOSE 50MG/1 100 TABLET IN 1 BOTTLE",2,0,0,0,-2
"26","ACARBOSE TABLETS",2,0,0,0,-2
"27","ACEBUTOLOL 200MG CAPSULE",2,2,2,0,-2
"28","ACEBUTOLOL 400MG CAPSULE",2,2,2,0,-2
"29","ACETAMINOPHEN AND CODEINE PHOSPHATE 300; 60MG/1; MG/1 500 TABLET IN 1 BOTTLE",2,0,0,0,-2
"30","ACETAMINOPHEN AND CODEINE PHOSPHATE SOLUTION ORAL USP 120;12MG/5ML;MG/ 12.5 ML CUPUD",2,2,0,0,-2
"31","ACETAMINOPHEN AND CODEINE PHOSPHATE TABLET 300MG-30MG (60 CT)",2,2,0,0,-2
"32","ACETAZOLAMIDE EXTENDED RELEASE CAPSULES 500MG 100 BOT",2,0,0,0,-2
"33","ACETIC ACID 2% SOLUTION NON-ORAL",2,0,0,0,-2
"34","ACETYLCYSTEINE 20% VIAL 3 X 30ML CRTN",2,0,0,0,-2
"35","ACTEMRA INJECTION 200MG/10ML",2,0,0,0,-2
"36","ACTHIB VACCINE VIAL 10-24UNT/5ML",2,0,0,0,-2
"37","ACTIMMUNE SOLUTION FOR INJECTION 100MCG",2,0,0,0,-2
"38","ACTOPLUS MET 15MG/500MG TABLET",2,0,0,0,-2
"39","ACTOPLUS MET 15MG/850MG TABLET",2,0,0,0,-2
"40","ACTOS 15MG TABLET",2,0,0,0,-2
"41","ACTOS 30MG TABLET (500 CT)",2,0,0,0,-2
"42","ACTOS 45MG TABLET",2,0,0,0,-2
"43","ACYCLOVIR 200MG/5ML 473 ML IN 1 BOTTLE",2,0,0,0,-2
"44","ACYCLOVIR 400MG/1 100 BLISTER PACK IN 1 BOX / 1 TABLET IN 1 BLISTER PACK",2,0,0,0,-2
"45","ACYCLOVIR SODIUM 500MG VIAL",2,0,0,0,-2
"46","ADAPALENE CREAM",2,0,0,0,-2
"47","ADAPALENE GEL",2,0,0,0,-2
"48","ADCIRCA TABLETS 20MG 60 BOT",2,0,0,0,-2
"49","AFINITOR 7.5MG/1 28 BLISTER PACK IN 1 CARTON / 1 TABLET IN 1 BLISTER PACK",2,0,0,0,-2
"50","AK-CON 0.1% EYE DROPS",2,2,0,0,-2
"51","ALA-CORT 1% CREAM",2,2,2,0,-2
"52","ALBUTEROL SULFATE 0.75MG/3ML 30 POUCH IN 1 CARTON / 1 VIAL, SINGLE-DOSE IN 1 POUCH / 3 ML IN 1 VIAL",2,0,0,0,-2
"53","ALBUTEROL SULFATE 4MG TABLET SR 12HR",2,0,0,0,-2
"54","ALBUTEROL SULFATE 8MG TABLET SR 12HR",2,0,0,0,-2
"55","ALBUTEROL SULFATE SOLUTION FOR INHALATION",2,2,2,0,-2
"56","ALBUTEROL SULFATE TABLET 2MG (500 CT)",2,2,2,0,-2
"57","ALBUTEROL TABLET 4MG (500 CT)",2,2,2,0,-2
"58","ALCLOMETASONE DIPROPIONATE 0.05% CREAM",2,2,2,0,-2
"59","ALCLOMETASONE DIPROPIONATE 0.5MG/G 1 TUBE IN 1 CARTON / 60 G IN 1 TUBE",2,0,0,0,-2
"60","ALENDRONATE SODIUM 10MG TABLET",2,2,0,0,-2
"61","ALENDRONATE SODIUM 40MG TABLET",2,2,0,0,-2
"62","ALENDRONATE SODIUM 5MG TABLET",2,2,0,0,-2
"63","ALENDRONATE SODIUM 70MG/1",2,0,0,0,-2
"64","ALENDRONATE SODIUM TABLET 35MG 20 CRTN",2,0,0,0,-2
"65","ALFUZOSIN HYDROCHLORIDE 10MG/1 100 TABLET, EXTENDED RELEASE IN 1 BOTTLE",2,2,2,0,-2
"66","ALINIA 100MG/5ML SUSPENSION",2,2,0,0,-2
"67","ALINIA 500MG TABLET",2,0,0,0,-2
"68","ALLOPURINOL 300MG/1 100 BLISTER PACK IN 1 BOX, UNIT-DOSE / 1 TABLET IN 1 BLISTER PACK",2,0,0,0,-2
"69","ALLOPURINOL SODIUM 500MG VIAL",2,0,0,0,-2
"70","ALLOPURINOL TABLETS",2,0,0,0,-2
"71","AMANTADINE 100MG TABLET",2,2,2,0,-2
"72","AMANTADINE HYDROCHLORIDE 50MG/5ML 473 ML IN 1 BOTTLE",2,2,2,0,-2
"73","AMCINONIDE 0.1% CREAM",2,0,0,0,-2
"74","AMCINONIDE 0.1% LOTION",2,0,0,0,-2
"75","AMCINONIDE 0.1% OINTMENT 60GM TUBE",2,0,0,0,-2
"76","AMIFOSTINE 50MG/ML 3 VIAL, SINGLE-USE IN 1 CARTON / 10 ML IN 1 VIAL, SINGLE-USE",2,0,0,0,-2
"77","AMIKACIN 250MG/ML VIAL",2,0,0,0,-2
"78","AMIKACIN 50MG/ML VIAL",2,0,0,0,-2
"79","AMILORIDE HCL W/HCTZ 5MG-50MG TABLET",2,2,2,0,-2
"80","AMILORIDE HYDROCHLORIDE TABLETS 5MG 100 BOT",2,2,2,0,-2
"81","AMINOPHYLLINE 25MG/ML 5 TRAY IN 1 CARTON / 5 AMPULE IN 1 TRAY / 10 ML IN 1 AMPULE",2,0,0,0,-2
"82","AMINOSYN II 10% IV SOLUTION",2,2,2,0,-2
"83","AMINOSYN II 8.5% IV SOLUTION",2,2,0,0,-2
"84","AMINOSYN M 3.5% IV SOLUTION",2,2,0,0,-2
"85","AMIODARONE HCL 200MG 60 TABLET BOTTLE",2,2,0,0,-2
"86","AMIODARONE HCL 400MG TABLET",2,2,2,0,-2
"87","AMIODARONE HCL INJECTION",2,0,0,0,-2
"88","AMITRIPTYLINE HCL 100MG TABLET",2,2,2,0,-2
"89","AMITRIPTYLINE HCL 10MG TABLET",2,2,2,0,-2
"90","AMITRIPTYLINE HCL 25MG TABLET USP (100 CT)",2,2,2,0,-2
"91","AMITRIPTYLINE HCL 75MG TABLET USP (100 CT)",2,2,2,0,-2
"92","AMITRIPTYLINE HCL TABLETS 50MG 100 BOT",2,2,2,0,-2
"93","AMLODIPINE BESYLATE 10MG TABLET (90 CT)",2,2,2,0,-2
"94","AMLODIPINE BESYLATE 2.5MG TABLET (90 CT)",2,2,2,0,-2
"95","AMLODIPINE BESYLATE 5MG TABLET (90 CT)",2,2,2,0,-2
"96","AMLODIPINE BESYLATE-BENAZEPRIL 2.5MG-10MG CAPSULE",2,2,2,0,-2
"97","AMNESTEEM 10MG/1 3 BLISTER PACK IN 1 CARTON / 10 CAPSULE IN 1 BLISTER PACK",2,0,0,0,-2
"98","AMNESTEEM 20MG/1 3 BLISTER PACK IN 1 CARTON / 10 CAPSULE IN 1 BLISTER PACK",2,0,0,0,-2
"99","AMNESTEEM 40MG/1 3 BLISTER PACK IN 1 CARTON / 10 CAPSULE IN 1 BLISTER PACK",2,0,0,0,-2
"100","AMOX TR-K CLV 500-125 MG TAB",2,2,2,0,-2
"101","AMOX TR-POTASSIUM CLAVULANATE 200-28.5/5 SUSPENSION RECONSTITUTED ORAL",2,0,0,0,-2
"102","AMOXICILLIN 250MG CAPSULE",2,2,2,0,-2
"103","AMOXICILLIN 250MG/1 500 TABLET, CHEWABLE IN 1 BOTTLE",2,0,0,0,-2
"104","AMOXICILLIN 50 MG/ML / CLAVULANATE 12.5 MG/ML ORAL SUSPENSION",2,2,2,0,-2
"105","AMOXICILLIN 500MG TABLET (100 CT)",2,2,2,0,-2
"106","AMOXICILLIN 500MG/1 500 CAPSULE IN 1 BOTTLE, PLASTIC",2,0,0,0,-2
"107","AMOXICILLIN 875MG TABLET",2,2,2,0,-2
"108","AMOXICILLIN AND CLAVULANATE POTASSIUM TABLETS 875;125MG;MG 20 BOT",2,2,2,0,-2
"109","AMOXICILLIN CLAVULANATE POTASSIUM FOR SUSPENSION 600-42.9MG 125ML BOT",2,2,2,0,-2
"110","AMOXICILLIN FOR ORAL SUSPENSION 125MG/5ML 100ML BOT",2,2,2,0,-2
"111","AMOXICILLIN FOR ORAL SUSPENSION 200MG/5ML 100ML BOTGL",2,2,2,0,-2
"112","AMOXICILLIN FOR ORAL SUSPENSION 250MG/5ML 100ML BOT",2,2,2,0,-2
"113","AMOXICILLIN FOR ORAL SUSPENSION 400MG/5ML 50ML BOTGL",2,2,2,0,-2
"114","AMPHETAMINE SALT COMBO 30MG TABLET",2,2,0,0,-2
"115","AMPHETAMINE SALTS 20MG TABLET",2,2,0,0,-2
"116","AMPHETAMINE SALTS 5 MG TAB",2,2,2,0,-2
"117","AMPICILLIN 125MG/1 10 VIAL IN 1 BOX / 1 INJECTION, POWDER, FOR SOLUTION IN 1 VIAL",2,0,0,0,-2
"118","AMPICILLIN CAPSULES 250MG 100 BOT",2,2,2,0,-2
"119","AMPICILLIN CAPSULES 500MG 100 BOT",2,2,2,0,-2
"120","AMPICILLIN POWDER FOR INJECTION 1 GM/ML",2,2,2,0,-2
"121","AMPICILLIN-SULBACTAM 15 GM VL",2,0,0,0,-2
"122","AMPICILLIN-SULBACTAM 3 GM VIAL",2,2,2,0,-2
"123","AMTURNIDE 150; 5; 12.5MG/1; MG/1; MG/1 30 TABLET, FILM COATED IN 1 BOTTLE",2,0,0,0,-2
"124","AMTURNIDE 300; 10; 12.5MG/1; MG/1; MG/1 30 TABLET, FILM COATED IN 1 BOTTLE",2,0,0,0,-2
"125","AMTURNIDE 300; 10; 25MG/1; MG/1; MG/1 30 TABLET, FILM COATED IN 1 BOTTLE",2,0,0,0,-2
"126","AMTURNIDE 300; 5; 12.5MG/1; MG/1; MG/1 30 TABLET, FILM COATED IN 1 BOTTLE",2,0,0,0,-2
"127","AMTURNIDE 300; 5; 25MG/1; MG/1; MG/1 30 TABLET, FILM COATED IN 1 BOTTLE",2,0,0,0,-2
"128","ANAGRELIDE HYDROCHLORIDE 0.5MG/1 100 CAPSULE IN 1 BOTTLE",2,0,0,0,-2
"129","ANAGRELIDE HYDROCHLORIDE 1MG/1 100 CAPSULE IN 1 BOTTLE",2,0,0,0,-2
"130","ANASTROZOLE TABLETS",2,0,0,0,-2
"131","ANDROGEL 1%(50MG) GEL PACKET",2,0,0,0,-2
"132","ANDROGEL 16.2MG/G 1 BOTTLE, PUMP IN 1 CARTON / 88 G IN 1 BOTTLE, PUMP",2,0,0,0,-2
"133","APOKYN 30MG/3ML 5 CARTRIDGE IN 1 CARTON / 3 ML IN 1 CARTRIDGE",2,0,0,0,-2
"134","ARALAST NP 1 KIT IN 1 CARTON",2,0,0,0,-2
"135","ARANESP 100UG/0.5ML 1 BLISTER PACK IN 1 PACKAGE / 4 SYRINGE IN 1 BLISTER PACK / 0.5 ML IN 1 SYRINGE",2,0,0,0,-2
"136","ARANESP 100UG/ML 4 VIAL, SINGLE-DOSE IN 1 PACKAGE / 1 ML IN 1 VIAL, SINGLE-DOSE",2,0,0,0,-2
